book_name,book1,book2,book3,book4,book5,book6,book7,book8,book9,book10
"A Child Called ""It"" (Dave Pelzer #1)"	,  The Hunger Games (The Hunger Games  #1) - 67.94, Twilight (Twilight  #1) - 64.04, Catching Fire (The Hunger Games  #2) - 57.68, The Help - 48.27, The Book Thief - 41.69, Breaking Dawn (Twilight  #4) - 43.09, New Moon (Twilight  #2) - 38.13, Water for Elephants - 34.42, The Giver (The Giver  #1) - 32.40, To Kill a Mockingbird - 33.54 
'Salem's Lot	,  The Shining - 77.18, It - 62.82, The Hunger Games (The Hunger Games  #1) - 50.20, Carrie - 50.32, Catching Fire (The Hunger Games  #2) - 42.44, The Gunslinger - 41.94, A Game of Thrones (A Song of Ice and Fire  #1) - 42.03, Harry Potter and the Sorcerer's Stone (Harry Potter  #1) - 42.10, The Stand - 39.72, Harry Potter and the Deathly Hallows (Harry Potter  #7) - 37.06 
'Tis A Memoir (Frank McCourt  #2)	,  Angela's Ashes (Frank McCourt  #1) - 71.34, The Help - 23.92, The Book Thief - 24.35, The Glass Castle - 25.83, The Hunger Games (The Hunger Games  #1) - 21.67, Teacher Man (Frank McCourt  #3) - 14.12, The Girl with the Dragon Tattoo (Millennium  #1) - 10.16, Catching Fire (The Hunger Games  #2) - 8.22, Water for Elephants - 7.56, The Art of Racing in the Rain - 7.56 
100 Cupboards  (100 Cupboards  #1)	,  The Hunger Games (The Hunger Games  #1) - 59.09, Catching Fire (The Hunger Games  #2) - 35.30, The Graveyard Book - 35.74, The Book Thief - 33.12, The Maze Runner (Maze Runner  #1) - 28.28, Thirteen Reasons Why - 24.62, The Knife of Never Letting Go (Chaos Walking  #1) - 15.68, The Guernsey Literary and Potato Peel Pie Society - 15.00, The Help - 15.31, When You Reach Me - 15.31 
11 Birthdays (Willow Falls  #1)	,  Out of My Mind - 69.08, When You Reach Me - 58.41, The Hunger Games (The Hunger Games  #1) - 53.47, The Graveyard Book - 49.82, Catching Fire (The Hunger Games  #2) - 37.39, Paper Towns - 34.61, The Book Thief - 32.60, The Maze Runner (Maze Runner  #1) - 30.92, Where the Mountain Meets the Moon - 27.32, The Guernsey Literary and Potato Peel Pie Society - 26.46 
13 Little Blue Envelopes (Little Blue Envelope  #1)	,  The Hunger Games (The Hunger Games  #1) - 63.20, Anna and the French Kiss (Anna and the French Kiss  #1) - 51.57, Catching Fire (The Hunger Games  #2) - 52.54, Paper Towns - 46.98, If I Stay (If I Stay  #1) - 45.81, The Book Thief - 37.30, Thirteen Reasons Why - 35.51, Looking for Alaska - 34.89, City of Bones (The Mortal Instruments  #1) - 31.74, Shiver (The Wolves of Mercy Falls  #1) - 31.36 
1491: New Revelations of the Americas Before Columbus	,  The Hunger Games (The Hunger Games  #1) - 81.94, The Girl with the Dragon Tattoo (Millennium  #1) - 67.59, Catching Fire (The Hunger Games  #2) - 47.31, The Guernsey Literary and Potato Peel Pie Society - 33.50, The Book Thief - 33.00, The Girl Who Kicked the Hornet's Nest (Millennium  #3) - 34.28, The Girl Who Played with Fire (Millennium  #2) - 32.86, The Magicians (The Magicians #1) - 31.90, The Curious Incident of the Dog in the Night-Time - 26.67, The Help - 25.72 
1776	,  The Hunger Games (The Hunger Games  #1) - 75.47, The Book Thief - 62.07, The Help - 58.92, John Adams - 57.39, Catching Fire (The Hunger Games  #2) - 48.21, To Kill a Mockingbird - 46.52, The Girl with the Dragon Tattoo (Millennium  #1) - 45.17, Ender's Game (Ender's Saga  #1) - 41.07, The Guernsey Literary and Potato Peel Pie Society - 41.27, The Great Gatsby - 36.87 
1984	,  The Hunger Games (The Hunger Games  #1) - 74.89, Animal Farm - 71.00, The Book Thief - 62.11, To Kill a Mockingbird - 61.82, Catching Fire (The Hunger Games  #2) - 51.78, The Great Gatsby - 50.99, The Catcher in the Rye - 51.01, Harry Potter and the Sorcerer's Stone (Harry Potter  #1) - 48.25, Brave New World - 45.01, The Handmaid's Tale - 42.17 
1st to Die (Women's Murder Club  #1)	,  Catching Fire (The Hunger Games  #2) - 66.78, 2nd Chance (Women's Murder Club  #2) - 74.80, The Hunger Games (The Hunger Games  #1) - 59.96, The Help - 55.77, 3rd Degree (Women's Murder Club  #3) - 69.55, The Girl with the Dragon Tattoo (Millennium  #1) - 54.29, 4th of July (Women's Murder Club  #4) - 56.80, Twilight (Twilight  #1) - 47.60, The Book Thief - 43.27, Water for Elephants - 40.12 
2 States: The Story of My Marriage	,  Five Point Someone - 61.32, The 3 Mistakes of My Life - 37.89, One Night at the Call Center - 30.60, The Alchemist - 24.39, Animal Farm - 8.84, Digital Fortress - 14.79, Angels & Demons  (Robert Langdon  #1) - 10.88, The Da Vinci Code (Robert Langdon  #2) - 9.49, To Kill a Mockingbird - 7.25, The White Tiger - 6.70 
2001: A Space Odyssey (Space Odyssey  #1)	,  Ender's Game (Ender's Saga  #1) - 72.37, Brave New World - 57.82, Do Androids Dream of Electric Sheep? - 53.29, The Hunger Games (The Hunger Games  #1) - 54.58, Slaughterhouse-Five - 52.93, The Handmaid's Tale - 42.15, The Book Thief - 43.74, The Hobbit - 42.16, Foundation (Foundation #1) - 42.39, The Road - 42.39 
